year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
2014,https://www.atptour.com//en/scores/2014/339/MS001/match-stats?isLive=False,h432,f324,Lleyton Hewitt,Roger Federer,4,4,50,50,101,40,50,26,51,13,0,64,55,86,38,55,14,31
2014,https://www.atptour.com//en/scores/2014/339/MS002/match-stats?isLive=False,f324,ca12,Roger Federer,Jeremy Chardy,20,3,59,56,95,46,56,23,39,4,7,50,43,86,36,43,21,43
2014,https://www.atptour.com//en/scores/2014/339/MS003/match-stats?isLive=False,h432,n552,Lleyton Hewitt,Kei Nishikori,7,3,44,45,102,40,45,30,57,12,6,60,61,101,44,61,20,40
2014,https://www.atptour.com//en/scores/2014/339/MS004/match-stats?isLive=False,f324,me05,Roger Federer,Marinko Matosevic,9,1,61,25,41,21,25,9,16,3,5,56,30,54,16,30,7,24
2014,https://www.atptour.com//en/scores/2014/339/MS005/match-stats?isLive=False,ca12,g940,Jeremy Chardy,Sam Groth,7,0,77,40,52,34,40,11,12,12,1,68,41,60,32,41,11,19
2014,https://www.atptour.com//en/scores/2014/339/MS006/match-stats?isLive=False,h432,ca99,Lleyton Hewitt,Marius Copil,5,1,52,25,48,21,25,15,23,7,3,51,30,59,22,30,9,29
2014,https://www.atptour.com//en/scores/2014/339/MS008/match-stats?isLive=False,f324,n289,Roger Federer,Jarkko Nieminen,9,0,61,34,56,27,34,14,22,1,4,56,35,63,21,35,14,28
2014,https://www.atptour.com//en/scores/2014/339/MS015/match-stats?isLive=False,n552,e690,Kei Nishikori,Matthew Ebden,1,1,56,27,48,22,27,15,21,3,2,55,26,47,19,26,10,21
2014,https://www.atptour.com//en/scores/2014/339/MS013/match-stats?isLive=False,ca99,sd32,Marius Copil,Gilles Simon,10,0,58,38,66,33,38,16,28,2,2,43,32,74,23,32,22,42
2014,https://www.atptour.com//en/scores/2014/339/MS014/match-stats?isLive=False,c977,d875,Marin Cilic,Grigor Dimitrov,16,4,61,47,77,40,47,16,30,8,1,58,42,72,32,42,16,30
2014,https://www.atptour.com//en/scores/2014/339/MS012/match-stats?isLive=False,h432,l397,Lleyton Hewitt,Feliciano Lopez,11,2,54,43,80,33,43,20,37,8,8,58,36,62,29,36,9,26
2014,https://www.atptour.com//en/scores/2014/339/MS011/match-stats?isLive=False,ca12,m873,Jeremy Chardy,Nicolas Mahut,10,3,53,45,85,39,45,26,40,12,6,52,53,102,39,53,23,49
2014,https://www.atptour.com//en/scores/2014/339/MS010/match-stats?isLive=False,g940,h996,Sam Groth,Pierre-Hugues Herbert,18,7,55,62,113,49,62,27,51,8,6,62,68,110,51,68,22,42
2014,https://www.atptour.com//en/scores/2014/339/MS009/match-stats?isLive=False,me05,q927,Marinko Matosevic,Sam Querrey,4,3,57,64,112,46,64,26,48,19,2,58,59,101,45,59,23,42
2014,https://www.atptour.com//en/scores/2014/339/MS028/match-stats?isLive=False,d875,h756,Grigor Dimitrov,Robin Haase,6,1,53,23,43,21,23,15,20,2,1,70,39,56,24,39,8,17
2014,https://www.atptour.com//en/scores/2014/339/MS024/match-stats?isLive=False,l397,k926,Feliciano Lopez,Mikhail Kukushkin,13,3,55,30,55,24,30,14,25,4,2,48,28,58,12,28,19,30
2014,https://www.atptour.com//en/scores/2014/339/MS019/match-stats?isLive=False,q927,t315,Sam Querrey,Dmitry Tursunov,18,1,69,40,58,36,40,7,18,4,0,63,40,63,26,40,12,23
2014,https://www.atptour.com//en/scores/2014/339/MS023/match-stats?isLive=False,ca12,me82,Jeremy Chardy,Adrian Mannarino,10,2,66,50,76,34,50,15,26,4,3,61,54,88,31,54,17,34
2014,https://www.atptour.com//en/scores/2014/339/MS029/match-stats?isLive=False,c977,i165,Marin Cilic,Denis Istomin,14,7,53,59,111,51,59,27,52,8,2,56,56,100,45,56,29,44
2014,https://www.atptour.com//en/scores/2014/339/MS026/match-stats?isLive=False,ca99,se73,Marius Copil,Yuichi Sugita,31,2,59,75,128,66,75,27,53,4,1,71,90,126,71,90,22,36
2014,https://www.atptour.com//en/scores/2014/339/MS030/match-stats?isLive=False,e690,k737,Matthew Ebden,Alex Kuznetsov,5,7,66,40,61,32,40,6,21,4,1,77,43,56,24,43,7,13
2014,https://www.atptour.com//en/scores/2014/339/MS021/match-stats?isLive=False,g940,h940,Sam Groth,Ryan Harrison,23,2,73,51,70,46,51,10,19,5,4,69,59,86,43,59,15,27
2014,https://www.atptour.com//en/scores/2014/339/MS025/match-stats?isLive=False,h432,kd46,Lleyton Hewitt,Thanasi Kokkinakis,4,1,52,32,62,27,32,16,30,8,5,59,45,76,29,45,15,31
2014,https://www.atptour.com//en/scores/2014/339/MS022/match-stats?isLive=False,m873,sf36,Nicolas Mahut,Igor Sijsling,15,4,59,59,100,46,59,18,41,13,2,64,50,78,43,50,12,28
2014,https://www.atptour.com//en/scores/2014/339/MS018/match-stats?isLive=False,me05,b747,Marinko Matosevic,Julien Benneteau,11,3,61,68,112,43,68,26,44,14,1,65,76,117,51,76,18,41
2014,https://www.atptour.com//en/scores/2014/339/MS017/match-stats?isLive=False,n289,d994,Jarkko Nieminen,James Duckworth,5,3,76,54,71,36,54,9,17,9,7,57,29,51,23,29,6,22
2014,https://www.atptour.com//en/scores/2014/339/QS006/match-stats?isLive=False,h940,i230,Ryan Harrison,Tatsuma Ito,10,3,62,45,73,36,45,11,28,5,6,57,46,81,27,46,19,35
2014,https://www.atptour.com//en/scores/2014/339/QS007/match-stats?isLive=False,ca99,k737,Marius Copil,Alex Kuznetsov,11,1,67,32,48,27,32,9,16,3,0,74,32,43,16,32,9,11
2014,https://www.atptour.com//en/scores/2014/339/QS004/match-stats?isLive=False,kd46,w571,Thanasi Kokkinakis,Di Wu,5,4,44,23,52,19,23,15,29,1,1,65,33,51,19,33,7,18
2014,https://www.atptour.com//en/scores/2014/339/QS005/match-stats?isLive=False,se73,h996,Yuichi Sugita,Pierre-Hugues Herbert,1,1,61,44,72,34,44,22,28,17,1,56,42,75,33,42,20,33
2014,https://www.atptour.com//en/scores/2014/339/QS008/match-stats?isLive=False,kd46,g806,Thanasi Kokkinakis,Andrey Golubev,6,2,69,40,58,32,40,9,18,8,7,55,41,75,27,41,15,34
2014,https://www.atptour.com//en/scores/2014/339/QS010/match-stats?isLive=False,se73,ka98,Yuichi Sugita,Bradley Klahn,3,3,70,57,82,39,57,11,25,12,2,52,42,81,32,42,19,39
2014,https://www.atptour.com//en/scores/2014/339/QS012/match-stats?isLive=False,h940,w373,Ryan Harrison,Jimmy Wang,6,2,64,35,55,30,35,11,20,3,1,68,39,57,27,39,11,18
2014,https://www.atptour.com//en/scores/2014/339/QS009/match-stats?isLive=False,w571,w522,Di Wu,Rhyne Williams,1,0,56,27,48,22,27,10,21,3,1,55,24,44,11,24,8,20
2014,https://www.atptour.com//en/scores/2014/339/QS013/match-stats?isLive=False,i230,be90,Tatsuma Ito,Ricardas Berankis,4,0,54,38,70,27,38,22,32,5,2,55,43,78,28,43,17,35
2014,https://www.atptour.com//en/scores/2014/339/QS015/match-stats?isLive=False,k737,k771,Alex Kuznetsov,Marsel Ilhan,7,1,67,51,76,36,51,13,25,3,1,61,41,67,31,41,11,26
2014,https://www.atptour.com//en/scores/2014/339/QS014/match-stats?isLive=False,ca99,w503,Marius Copil,James Ward,14,3,62,50,81,43,50,14,31,3,2,71,54,76,40,54,11,22
2014,https://www.atptour.com//en/scores/2014/339/QS011/match-stats?isLive=False,h996,mk40,Pierre-Hugues Herbert,Benjamin Mitchell,17,6,49,49,99,42,49,32,50,10,6,61,59,96,45,59,27,37
